C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_09_689.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_09_689.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_09_689.jpg, 0, 0, 0, 7.827859E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_09_840.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_09_840.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_09_840.jpg, 0, 0, 0, 7.891021E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_09_943.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_09_943.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_09_943.jpg, 0, 0, 0, 7.919825E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_085.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_085.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_085.jpg, 0, 0, 0, 7.807724E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_185.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_185.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_185.jpg, 0, 0, 0, 7.837388E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_336.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_336.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_336.jpg, 0, 0, 0, 7.933249E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_442.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_442.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_442.jpg, 0, 0, 0, 7.772662E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_582.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_582.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_582.jpg, 0, 0, 0, 7.902156E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_686.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_686.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_686.jpg, 0, 0, 0, 7.837949E-05
C:\Users\adity\driving_data\IMG\center_2023_07_23_11_40_10_816.jpg, C:\Users\adity\driving_data\IMG\left_2023_07_23_11_40_10_816.jpg, C:\Users\adity\driving_data\IMG\right_2023_07_23_11_40_10_816.jpg, 0, 0, 0, 8.014865E-05
